artist,songs,Clusters
Isaiah Rashad,Park,5
Kanye West,I Wonder,0
Kendrick Lamar,DUCKWORTH.,2
JID,EdEddnEddy,5
21 Savage,Said N Done,2
Earl Sweatshirt,Hive (feat. Vince Staples & Casey Veggies),2
Pusha T,The Games We Play,7
Ab-Soul,The Law (feat. Mac Miller & Rapsody),3
21 Savage,Rich Nigga Shit (feat. Young Thug),3
Freddie Gibbs,"Something to Rap About (feat. Tyler, The Creator)",6
A$AP Rocky,"1Train (feat. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",4
Maxo Kream,Roaches,6
ScHoolboy Q,Tookie Knows II,0
ScHoolboy Q,Kno Ya Wrong,1
Freddie Gibbs,4 Thangs (feat. Big Sean & Hit-Boy),3
2 Chainz,Grey Area,7
Cordae,The Parables,2
EST Gee,Members Only (feat. 42 Dugg),2
Nyck Caution,Bad Day (feat. Denzel Curry),7
Kendrick Lamar,Cartoon,5
Jay Rock,Vice City (feat. Black Hippy),3
Jay Rock,Money Trees Deuce (feat. Lance Skiiiwalker),7
Jay Rock,Gumbo,4
Jay Rock,Easy Bake (feat. Kendrick Lamar & SZA),2
Jay Rock,Necessary,3
Pusha T,"Crutches, Crosses, Caskets",3
Freddie Gibbs,Narcos,1
Kendrick Lamar,untitled 07 | 2014 - 2016,6
Kendrick Lamar,untitled 08 | 09.06.2014.,3
Isaiah Rashad,Smile,6
Young Nudy,EA (feat. 21 Savage),1
Chief Keef,Earned It,5
42 Dugg,Free Woo,7
King Von,Twin Nem,5
Lil Durk,Redman,6
Madmarcc,6 House,3
Jackboy,Man Down (feat. Sada Baby),3
A$AP Mob,"Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)",0
Jackboy,Think They Are (feat. Denzel Curry),3
Playboi Carti,New N3on,3
REASON,Extinct,1
REASON,SAUCE,0
Pooh Shiesty,Shiesty Summer,7
Future,Too Comfortable,3
G Herbo,Write Your Name,7
G Herbo,Momma I'm Sorry,1
Lil Yachty,Flex Up (feat. Future & Playboi Carti),7
Jack Harlow,Tyler Herro,3
Baby Smoove,Load Management,3
,,2
ScHoolboy Q,Los Awesome,7
Lil Wayne,6 Foot 7 Foot,1
Lil Wayne,Let It Fly (feat. Travis Scott),7
Lil Wayne,Open Letter,3
Lil Wayne,3 Peat,2
Lil Wayne,Mr. Carter,2
Lil Wayne,A Milli,3
Lil Wayne,Mrs. Officer,7
Lil Wayne,She Will,1
Lil Wayne,MegaMan,1
Kendrick Lamar,ELEMENT.,2
Kendrick Lamar,good kid,2
Kendrick Lamar,Compton,2
Kendrick Lamar,The Recipe - Bonus Track,3
Kendrick Lamar,Black Boy Fly - Bonus Track,2
Kendrick Lamar,Hol' Up,2
Kendrick Lamar,Michael Jordan,2
Kendrick Lamar,Barbed Wire,1
Kendrick Lamar,All The Stars (with SZA),3
KIDS SEE GHOSTS,Freeee (Ghost Town Pt. 2),2
Kanye West,I Thought About Killing You,6
Kanye West,No Mistakes,3
Kanye West,FML,0
Kanye West,Fade,3
Kanye West,Bound 2,0
JAY-Z,No Church In The Wild,3
Kanye West,So Appalled,4
Kanye West,Blame Game,1
Kanye West,Heartless,3
Kanye West,Street Lights,0
"Tyler, The Creator",I Ain't Got Time!,1
"Tyler, The Creator",Glitter,4
"Tyler, The Creator","Trashwang (feat. Na' kel, Jasper Dolphin, Lucas, L-Boy, Taco, Left Brain & Lee Spielman)",1
"Tyler, The Creator","FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)",1
"Tyler, The Creator",She,4
"Tyler, The Creator",Tron Cat,1
Travis Scott,CAN'T SAY,3
Travis Scott,way back,4
Travis Scott,through the late night,0
Travis Scott,Pray 4 Love (feat. The Weeknd),0
Travis Scott,Maria I'm Drunk (feat. Justin Bieber & Young Thug),0
Outkast,Da Art of Storytellin' (Pt. 1),4
Domo Genesis,Coming Back (feat. Mac Miller),4
Gunna,Who You Foolin,7
Young Thug,Digits,3
Drake,Fake Love,3
Chief Keef,Love Sosa,0
Pooh Shiesty,Back In Blood (feat. Lil Durk),3
Playboi Carti,Broke Boi,5
Drake,March 14,6
Drake,Passionfruit,5
The Weeknd,Reminder,0
Future,Comin Out Strong (feat. The Weeknd),5
Drake,Childs Play,3
Drake,Wu-Tang Forever,3
Drake,Pound Cake / Paris Morton Music 2,2
Kanye West,Real Friends,1
Kanye West,Runaway,4
J. Cole,She Knows (feat. Amber Coffman & Cults),0
Kanye West,Waves,0
Pusha T,M.P.A.,2
J. Cole,Wet Dreamz,2
J. Cole,In The Morning,6
J. Cole,Power Trip (feat. Miguel),4
Drake,War,3
Pusha T,Sweet Serenade,2
Kendrick Lamar,Blow My High (Members Only),3
Kendrick Lamar,The Recipe (Black Hippy Remix) - Bonus Track,3
Kendrick Lamar,P&P 1.5,2
Kendrick Lamar,Kush & Corinthians (feat. BJ The Chicago Kid),2
Kendrick Lamar,Sherane a.k.a Master Splinter’s Daughter,6
Young Money,Trophies,0
The Weeknd,The Morning,0
The Notorious B.I.G.,Sky's the Limit (feat. 112) - 2014 Remaster,7
J. Cole,January 28th,1
Drake,Chicago Freestyle (feat. Giveon),6
Drake,Over,1
Cozz,Knock Tha Hustle - Remix,7
Bas,My Nigga Just Made Bail,3
A$AP Rocky,PMW (All I Really Need) (feat. ScHoolboy Q),0
The Weeknd,The Hills,0
Joey Bada$$,Survival Tactics,2
Freddie Gibbs,Thuggin’,1
Jay Rock,Wow Freestyle (feat. Kendrick Lamar),7
JAY-Z,The Story of O.J.,2
Future,Married To The Game,0
Lil Yachty,Hit Bout It,0
Frank Ocean,Sweet Life,1
Tee Grizzley,Gave That Back (feat. Baby Grizzley),7
Future,News or Something,3
Future,Purple Reign,0
G Herbo,Friends & Foes,4
42 Dugg,Been Turnt,7
Dee Watkins,Make Em Mad,7
Lil Eazzyy,Feeling Different,7
Kid Cudi,Brothers,2
Kid Cudi,Solo Dolo Part II,7
Playboi Carti,Ain't Doin That,0
Black Thought,Steak Um (feat. ScHoolboy Q),4
The Kendrick,Black Friday,3
42 Dugg,Dog Food,0
Baby Smoove,Losing My Mind,5
Rae Sremmurd,Swang,0
Lil Uzi Vert,XO Tour Llif3,3
"Tyler, The Creator",Who Dat Boy (feat. A$AP Rocky),5
Kendrick Lamar,m.A.A.d city,1
A$AP Rocky,Jukebox Joints (feat. Joe Fox & Kanye West),1
Roy Ayers Ubiquity,Everybody Loves The Sunshine,3
Drego & Beno,Recipe 2,1
42 Dugg,Stfu,7
Peezy,2 Quick (feat. Tee Grizzley & Payroll Giovanni),7
Kodak Black,Skrt,6
Icewear Vezzo,The Sit Down,0
Tee Grizzley,From The D To The A (feat. Lil Yachty),3
Tee Grizzley,No Effort,7
YoungBoy Never Broke Again,No Smoke,3
Kodak Black,Patty Cake,3
Playboi Carti,wokeuplikethis*,7
Lil Durk,3 Headed Goat (feat. Lil Baby & Polo G),5
Lil Baby,Grace (feat. 42 Dugg),3
Lil Baby,Gang Signs,7
JID,Slick Talk,1
JID,Off Da Zoinkys,4
Flying Lotus,Black Balloons Reprise,0
Freddie Gibbs,Crime Pays,7
Vince Staples,Don't Get Chipped,7
Vince Staples,FUN!,7
JID,Somebody,4
Anderson .Paak,Brother's Keeper (feat. Pusha T),3
Anderson .Paak,Saviers Road,1
JID,Underwear,5
Polo G,Last Man Standing,3
Kendrick Lamar,Backseat Freestyle,1
Bobby Shmurda,Hot N*gga,5
Dr. Dre,Still D.R.E.,7
Nelly,Dilemma,3
Nas,EPMD,7
50 Cent,21 Questions,1
2Pac,Ambitionz Az A Ridah,7
A$AP Rocky,Electric Body (feat. ScHoolboy Q),7
50 Cent,Candy Shop,2
21 Savage,No Heart,5
Lil Uzi Vert,Money Longer,3
Kid Cudi,Just What I Am,7
Bobby Shmurda,Bobby Bitch,5
Juice WRLD,Bandit (with YoungBoy Never Broke Again),2
Benny The Butcher,One Way Flight (feat. Freddie Gibbs),2
Childish Gambino,IV. Sweatpants,4
Don Toliver,Cardigan,0
Lil Uzi Vert,Yessirskiii,7
Denzel Curry,CLOUT COBAIN | CLOUT CO13A1N,3
Juice WRLD,Wasted (feat. Lil Uzi Vert),7
6 Dogs,Faygo Dreams,0
Trippie Redd,1400 / 999 Freestyle,3
Lil Yachty,Yacht Club (feat. Juice WRLD),5
Denzel Curry,SUPER SAIYAN SUPERMAN | ZUPER ZA1YAN ZUPERMAN,0
Eminem,Without Me,7
Eminem,Just Lose It,7
Dr. Dre,What's The Difference,3
Earl Sweatshirt,Riot!,6
Kendrick Lamar,PRIDE.,0
Earl Sweatshirt,The Mint (feat. Navy Blue),4
MF DOOM,One Beer,4
"Tyler, The Creator",Peach Fuzz,7
"Tyler, The Creator",435,4
"Tyler, The Creator",OKRA,5
MF DOOM,Rapp Snitch Knishes (feat. Mr. Fantastik),4
Future,Rent Money,5
ShooterGang Kony,22,7
YNW Melly,Free Trell,3
PnB Rock,Rose Gold (feat. King Von),1
Kanye West,Gold Digger,1
Kanye West,Addiction,1
A Boogie Wit da Hoodie,Ransom,0
JAY-Z,My 1st Song,4
Young Thug,Millions,7
Jeezy,Put On,3
Future,Solitaires (feat. Travis Scott),0
The Weeknd,Starboy,2
Denzel Curry,So.Incredible.pkg [Robert Glasper Version Feat. Smino],3
SpotemGottem,Beat Box,0
Kevin Gates,Puerto Rico Luv,1
Aminé,Woodlawn,7
2Pac,California Love - Original Version,7
2Pac,Last Wordz,3
The Alchemist,E. Coli (feat. Earl Sweatshirt),1
Outkast,Jazzy Belle,3
Rowdy Rebel,Computers (feat. Bobby Shmurda),3
Chief Keef,Status,3
Migos,T-Shirt,3
Lil Tjay,Calling My Phone,0
Drake,Still Here,0
SZA,Good Days,4
Kevin Gates,Really Really,0
The Weeknd,House Of Balloons / Glass Table Girls,0
The Weeknd,The Party & The After Party,2
The Weeknd,Tell Your Friends,6
Childish Gambino,Les,0
Childish Gambino,II. Shadows,0
Frank Ocean,Novacane,0
Frank Ocean,Swim Good,7
Miguel,All I Want Is You (feat. J. Cole),7
Nas,Cherry Wine,3
J. Cole,Nobody's Perfect,5
J. Cole,Lights Please,7
Odd Future,White (feat. Frank Ocean),6
Odd Future,"Analog 2 (feat. Tyler, The Creator, Frank Ocean & Sydney Bennett)",2
"Tyler, The Creator",Analog,4
"Tyler, The Creator",Window,5
Kanye West,Lost In The World,4
Drake,Crew Love,2
Kanye West,Dark Fantasy,0
Kanye West,Gorgeous,0
Kanye West,Homecoming,7
Kanye West,Hell Of A Life,2
The Weeknd,Ordinary Life,0
Bas,Night Job,0
Joey Bada$$,500 Benz,3
G Herbo,Ain't for None,1
Lil Durk,Intro,6
G Herbo,In a Minute,7
Lud Foe,Killa Season,2
Lil Wayne,Harden,2
Kendrick Lamar,Money Trees,0
Kendrick Lamar,The Art of Peer Pressure,1
Kanye West,Get Em High,4
Danny Brown,Grown Up,1
ShooterGang Kony,Leave Me (feat. Lil Bean),5
Dreezy,Spar (feat. 6LACK & Kodak Black),7
Hotboii,Goat Talk 2,3
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),0
Pop Smoke,AP - Music from the film Boogie,7
Baby Smoove,Ignite Me,6
Key Glock,Off The Porch,5
Lil Durk,Kanye Krazy,3
Fredo Bang,Top (Remix) feat. Lil Durk,1
JID,Skegee,1
Ameer Vann,IDFIATOK,7
WESTSIDE BOOGIE,Outside (with Joey Bada$$),1
Ameer Vann,Keep Your Distance,0
Saba,Something in the Water,0
$NOT,Sangria (feat. Denzel Curry),3
Pooh Shiesty,See Red,0
Pooh Shiesty,7.62 God,3
A$AP Twelvyy,Pissy Staircase,1
A$AP Twelvyy,S.N.L.,7
42 Dugg,Not A Rapper (feat. Lil Baby & Yo Gotti),3
Kid Cudi,Show Out (with Skepta & Pop Smoke),0
SAINt JHN,Smack DVD (feat. Kanye West),5
Mozzy,Body Count (feat. King Von & G Herbo),7
A$AP Rocky,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",1
A$AP Rocky,Sundress,7
"Tyler, The Creator",I THINK,3
James Blake,Mile High (feat. Travis Scott & Metro Boomin),6
Frank Ocean,In My Room,7
"Tyler, The Creator",BEST INTEREST,3
A$AP Rocky,Fukk Sleep (feat. FKA twigs),5
"Tyler, The Creator",EARFQUAKE,4
Playboi Carti,Location,4
Bas,Tribe (with J. Cole),0
Anderson .Paak,Trippy (feat. J. Cole),0
"Tyler, The Creator",See You Again (feat. Kali Uchis),6
Mac Miller,Ladders,0
Metro Boomin,Dreamcatcher (feat. Swae Lee & Travis Scott),5
Metro Boomin,Overdue (with Travis Scott),6
A$AP Rocky,Tony Tone,1
Blood Orange,Chewing Gum,0
Icewear Vezzo,Champions,5
22Gz,Fallen Blixkys,7
Childish Gambino,Redbone,5
Outkast,B.O.B. - Bombs Over Baghdad,7
Baby Smoove,Dirty Dan,3
Kanye West,Drive Slow,1
Lud Foe,Recuperate,3
Rexx Life Raj,Time,5
J. Cole,Ville Mentality,6
Wale the Sage,Home Freestyle,3
Michael Jackson,Remember the Time,3
Damjonboi,Brainstorm,2
YN Jay,Split Second,5
Lil Tjay,No Escape,3
King Von,Ride,0
Post Malone,Die For Me (feat. Future & Halsey),0
Polo G,BST,3
Drake,What’s Next,0
Drake,Wants and Needs (feat. Lil Baby),0
Drake,Lemon Pepper Freestyle (feat. Rick Ross),7
G Herbo,Really Like That,7
Only The Family,Sip Again (feat. THF Zoo),5
Only The Family,Let It Blow (feat. Lil Uzi Vert),7
Only The Family,Hellcats & Trackhawks,3
Lil Durk,Out the Roof,7
Baby Keem,no sense,5
Only The Family,Chess,2
Damedot,Best Interest,3
Damedot,Washed My Hands,3
Damedot,Spend Some Money (feat. Ace Cino),5
Damedot,Eat or Starve,5
Eastside Reup,"Bag Flipper (feat. Dame Dot, Sada Baby & Wayne Go Cr8z)",5
Lil Wayne,Mona Lisa (feat. Kendrick Lamar),7
Damedot,MEDIC,5
Lil Baby,Real As It Gets (feat. EST Gee),3
Key Glock,Son Of A Gun,3
YoungBoy Never Broke Again,My Window (feat. Lil Wayne),3
YoungBoy Never Broke Again,The Last Backyard...,2
Scorey,Dior You,3
Damedot,God Bless the Mafia,0
Tee Grizzley,Straight To It (feat. Band Gang),5
Veeze,Rusty,5
BandGang Javar,"How Can I Stop, Pt. 2",1
Dave East,Handsome,7
DMX,Slippin' - Re-Recorded,0
FWC Big Key,Icy Girl - Remix,5
G Herbo,Break Yoself,7
Tee Grizzley,White Lows Off Designer (feat. Lil Durk),6
Lil Tjay,Headshot (feat. Polo G & Fivio Foreign),3
ScHoolboy Q,Groovy Tony / Eddie Kane,2
Rod Wave,Tombstone,6
Goodie Mob,Cell Therapy,5
Terror Squad,Lean Back,7
Usher,Nice & Slow - Radio Version,5
SWV,Weak,0
Jeezy,Soul Survivor,0
"Tyler, The Creator",Garbage,7
"Tyler, The Creator",IFHY (feat. Pharrell),4
Vince Staples,Blue Suede,4
"Tyler, The Creator",Colossus,1
ScHoolboy Q,The Purge,2
Wacotron,Cut Me Up,7
Benny The Butcher,Thanksgiving,1
Madmarcc,Campbellton (feat. King Von),7
G Herbo,Rollin (Bonus Track),1
Rod Wave,SoulFly,6
Rod Wave,Blame On You,3
Rod Wave,Don't Forget,2
Rod Wave,All I Got,4
Rod Wave,Richer (feat. Polo G),6
Rod Wave,Pills & Billz,5
Young Dolph,Case Closed,3
42 Dugg,4 Da Gang (with Roddy Ricch),5
Damedot,Skar,1
Nebu Kiniza,Raincoat,3
Benny The Butcher,Plug Talk (feat. 2 Chainz),2
Freddie Gibbs,Big Boss Rabbit,7
Denzel Curry,DIET_1.5 [Feat. Benny The Butcher],7
Young Dolph,1 Scale (feat. G Herbo),3
Klass Murda,Theme Song ft Benny The Butcher,3
Duke Deuce,GANGSTA PARTY,7
Only The Family,Dying 2 Hit'em,5
Bfb Da Packman,Honey Pack (feat. Lil Yachty & DDG) - Remix,2
42 Dugg,I Know,0
GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),0
Rio Da Yung OG Louie,One Night,3
Shoreline Mafia,Nun Major,7
Tay B,I'm Up Foreal,6
Ewm Buck,Hands On,3
ShooterGang Kony,Charlie,7
Allstar JR,Jeno a Bitch,3
Baby Smoove,On the Flo,0
Muwop,Nobody Move (feat. King Von),5
Future,Throw Away,0
Lil Baby,Close Friends (Lil Baby & Gunna),3
YNW Melly,772 Love,3
Kodak Black,Institution,6
Denzel Curry,PERCS | PERCZ,3
Denzel Curry,SUMO | ZUMO,7
A$AP Rocky,Distorted Records,0
Pusha T,What Would Meek Do?,0
Pusha T,Santeria,0
Jay Rock,The Bloodiest,0
Cordae,Old niggas,6
DMX,Ruff Ryders' Anthem,3
FXXXXY,Yeah Kool (feat. Lil Uzi Vert),3
Doe Boy,Grave Digger (feat. Young Thug),3
Doe Boy,Most Wanted (feat. Future),3
Doe Boy,Mini Vans (feat. Lil Durk),7
Sada Baby,Kourtside (feat. Lil Yachty),3
Sada Baby,150/55 (feat. G Herbo),3
DMX,One More Road To Cross,3
Lil Tecca,Show Me Up,0
Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef],0
Broccoli boat,Still Here,5
Kanye West,Last Call,1
Kanye West,Big Brother,1
Kanye West,Never Let Me Down,1
Kanye West,Jesus Walks,1
Nas,Still Dreaming,1
Lupe Fiasco,"Paris, Tokyo",3
Kanye West,Drunk and Hot Girls,3
Joey Bada$$,Waves,3
Young Stoner Life,Slatty (feat. Yak Gotti & Lil Duke),0
Young Stoner Life,Ski,3
Young Stoner Life,Diamonds Dancing (feat. Travis Scott),3
Young Stoner Life,Solid (feat. Drake),3
Young Stoner Life,I Like (feat. Karlae & Coi Leray),0
Young Stoner Life,Superstar (feat. Future),3
Young Stoner Life,Came Out (feat. Lil Keed),0
Young Stoner Life,Trance (feat. Karlae & Yung Bleu),3
Young Stoner Life,Moon Man (feat. Strick & Kid Cudi),5
Young Stoner Life,That Go! (feat. T-Shyne),0
Moe,Can't Help It (feat. Hotboii),2
Conway the Machine,Scatter Brain (feat. Ludacris & JID),0
Conway the Machine,200 Pies (feat. 2 Chainz),6
Nebu Kiniza,Questions (feat. Future),0
Conway the Machine,6:30 Tip Off,5
Future,All da Smoke,0
21 Savage,Rap Saved Me (feat. Quavo),0
Huncho Jack,Saint,0
Big Sean,Go Legend (& Metro Boomin),0
A$AP Rocky,Cocky (feat. London On Da Track),7
Travis Scott,Watch (feat. Lil Uzi Vert & Kanye West),0
Kanye West,Yikes,2
Young Thug,Light It Up,0
Young Thug,Jumped Out the Window,0
Young Thug,OD,1
Future,D4L,7
Young Thug,Old English,7
Young Thug,Wyclef Jean,3
Ludacris,Area Codes,4
Mac Miller,Senior Skip Day,6
Mac Miller,Frick Park Market,0
Mac Miller,O.K. - Bonus Track,7
Akon,I Wanna Love You,0
21 Savage,ball w/o you,7
Travis Scott,Upper Echelon (feat. T.I. & 2 Chainz),0
Young Thug,Ridin' (feat. Lil Durk),5
JAY-Z,Oceans,1
JAY-Z,Otis,4
JAY-Z,Heart Of The City (Ain't No Love),2
JAY-Z,December 4th,1
Kanye West,Cold,1
Anderson .Paak,Am I Wrong,3
ScHoolboy Q,Dope Dealer,0
Mac Miller,Two Matches (feat. Ab-Soul),4
IDK,Shoot My Shot,7
Tee Grizzley,Never Bend Never Fold,2
Snoop Dogg,Gang Signs,1
Kanye West,Good Morning,1
DJ Khaled,Nas Album Done (feat. Nas),1
Kanye West,Crack Music,3
Kanye West,Bring Me Down,4
A$AP Rocky,Angels,3
J. Cole,For Whom The Bell Tolls,6
Drake,10 Bands,3
Lupe Fiasco,Deliver,0
Outkast,Ain't No Thang - Dirty Version,2
DJ Quik,Tonite,5
Drake,Pound Cake / Paris Morton Music 2,2
Drake,"Hold On, We're Going Home",0
Drake,Buried Alive Interlude,6
Ice Cube,You Can Do It - Feat. Mack 10 And Ms Toi,7
Drake,Back To Back,3
6LACK,PRBLMS,0
ScHoolboy Q,Drunk (feat. 6LACK),3
Beast Coast,"Far Away (feat. Kirk Knight, Meechy Darko, Erick The Architect & Nyck Caution)",3
Future,XanaX Damage,0
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ - Pazmal Remix,1
Bryson Tiller,Exchange,0
Jay Rock,Pay for It (feat. Kendrick Lamar & Chantal),2
Childish Gambino,I. The Worst Guys,3
2Pac,I Ain't Mad At Cha,3
YG,Really Be (Smokin N Drinkin),4
Spillage Village,Can't Call It,5
Travis Scott,the ends,2
Vince Staples,Jump Off The Roof,4
Vince Staples,Prima Donna,1
Denzel Curry,Knotty Head,2
Domo Genesis,Dapper (feat. Anderson .Paak),3
Mac Miller,Cinderella (feat. Ty Dolla $ign),0
Kanye West,Violent Crimes,5
Childish Gambino,Feels Like Summer,0
Anderson .Paak,Lockdown,3
Lil Durk,Make It Out,5
G Herbo,Bottom of the Bottoms,0
Travis Scott,SKELETONS,0
Jalen Santoy,Foreplay,3
Masego,Navajo,1
WDNG Crshrs,Combination,5
WDNG Crshrs,Scented Candles,5
East Warren Buck,"Hands Own (feat. LilBeno, Drego & Nuk)",0
Morray,Low Key,0
Warren G,Why Oh Why (feat. Daz Dillinger & Kurupt),3
Baby Keem,hooligan,3
2FeetBino,No Freestyle (feat. Young Nudy),7
Nipsey Hussle,Can't Spell Success (feat. Cuzzy Capone),1
Denzel Curry,Take_it_Back_v2,4
Tae Fresh,Everytime,6
ShooterGang Kony,Skoompin',7
Nipsey Hussle,Blue Laces 2,1
Jeezy,Hustlaz Ambition,3
Dee Watkins,Bad Ass Jit,3
J. Cole,Immortal,6
SOB X RBE,Leave The Streets Alone (feat. Slimmy B & Yhung T.O.),7
Nipsey Hussle,Status Symbol 2 (feat. Buddy),4
Kid Cudi,The Adventures of Moon Man & Slim Shady (with Eminem),7
Drakeo the Ruler,Flu Flamming (Remix) (feat. Lil Yachty & Ohgeesy),5
King Lil G,Ignorance,2
Rihanna,Needed Me,5
EARTHGANG,Momma Told Me,4
Mac Miller,Small Worlds,6
Post Malone,Patient,3
Future,No Cap,0
Joey Bada$$,TEMPTATION,4
Denzel Curry,SIRENS | Z1RENZ [FEAT. J.I.D | J.1.D],2
Aminé,Shimmy,2
"Royce Da 5'9""",Dumb (feat. Boogie),2
ScHoolboy Q,LigHt Years AHead (Sky HigH),7
Rick Ross,Gold Roses (feat. Drake),1
Childish Gambino,Retro [ROUGH],3
Travis Scott,outside,2
Busta Rhymes,Break Ya Neck,3
Denzel Curry,SPEEDBOAT,7
Takeoff,Vacation,5
Money Man,Courtesy,3
DMX,What's My Name,2
21 Savage,Brand New Draco,3
Gunna,Secure The Vibe (feat. Young Thug),0
Freddie Gibbs,Soul Right,1
Nas,Cops Shot The Kid,2
Guapdad 4000,Stoop Kid,2
Young Thug,pick up the phone,3
Benny The Butcher,Live by It,1
Cordae,More Life (feat. Q Tip),1
Cordae,Wassup (feat. Young Thug),0
Cordae,Thornton Street,7
Roddy Ricch,Nascar,2
Only The Family,Problems,5
Moneybagg Yo,Hard For The Next (with Future),2
Moneybagg Yo,Free Promo (with Polo G & Lil Durk),0
Young Stoner Life,Slam The Door,3
Young Stoner Life,No Surprise (feat. Don Toliver & Bslime),0
Young Stoner Life,Mil In Vegas (feat. NAV),5
Young Stoner Life,Explosion (feat. Yak Gotti & FN DaDealer),0
Lil Yachty,Final Form,2
Lil Yachty,Dynamic Duo (feat. Tee Grizzley),7
Lil Yachty,Concrete Goonies,0
Lil Yachty,Never Did Coke (feat. Swae Lee),1
Lil Yachty,Fight Night Round 3 (feat. Babyface Ray & Veeze),1
Lil Yachty,SB 2021 (feat. Sada Baby),0
Lil Yachty,Hybrid (feat. Baby Tron),4
Lil Yachty,"This That One (feat. Krispy Life Kidd, Veeze, Slap Savage, YN Jay, Louie Ray",2
YoungBoy Never Broke Again,Territorial,0
Baby Keem,sons & critics freestyle,5
Drake,Jodeci Freestyle (feat. J. Cole),1
URBVN ARCHITECTS NYC,Ghost Dog,6
Dreamville,"Ladies, Ladies, Ladies (with JID feat. T.I.)",6
Joey Bada$$,O.C.B.,4
Eminem,Bad Meets Evil,4
Drake,Behind Barz - Bonus,6
Twista,Overnight Celebrity,3
Mike WiLL Made-It,"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",0
French Montana,"Lockjaw (feat. Kodak Black, Jeezy, Rick Ross, DJ Clue & DJ Khaled) - Remix",0
Babyface Ray,The Streets,7
Veeze,Law N Order,6
ScHoolboy Q,Ride Out,1
Juice WRLD,HeMotions,2
XXXTENTACION,Bowser,3
Migos,Get Right Witcha,3
Ski Mask The Slump God,Life Is Short,5
Future,100 Shooters (feat. Meek Mill & Doe Boy),0
Meek Mill,Pay You Back (feat. 21 Savage),0
Lute,Still Slummin',7
Nipsey Hussle,Rap Niggas,0
DaBaby,Handgun (feat. NoCap & Polo G),5
Wiz Khalifa,Visions,1
50 Cent,How To Rob,3
The Notorious B.I.G.,Gimme the Loot - 2005 Remaster,7
Kendrick Lamar,Hol' Up,2
Pop Smoke,Better Have Your Gun,4
Flying Lotus,Black Balloons Reprise,0
Playboi Carti,Other Shit,5
Conway the Machine,Had To Hustle (feat. El Camino & Shots),5
Drake,Now & Forever,0
Playboi Carti,ILoveUIHateU,0
Travis Scott,Pornography,4
Drake,Cameras / Good Ones Go Interlude - Medley,6
Frank Ocean,Super Rich Kids,3
Travis Scott,NC-17,0
Playboi Carti,Right Now (feat. Pi'erre Bourne),3
Vince Staples,Loco,5
Flipp Dinero,Intro,3
Pusha T,Pain,1
Drake,Legend,0
J. Cole,Once an Addict - Interlude,6
Nas,Queens Wolf,0
21 Savage,Snitches & Rats (feat. Young Nudy),7
JID,D/vision,7
Drake,Marvins Room,6
Pusha T,Trouble On My Mind,2
Drake,Worst Behavior,7
Baby Keem,durag activity (with Travis Scott),3
NLE Choppa,Final Warning,7
Lil Eazzyy,Spinnin (feat. Tay Keith),3
DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),2
DJ Khaled,THANKFUL (feat. Lil Wayne & Jeremih),1
DJ Khaled,LET IT GO (feat. Justin Bieber & 21 Savage),7
DJ Khaled,"THIS IS MY YEAR (feat. A Boogie Wit Da Hoodie, Big Sean, Rick Ross & Puff Daddy)",1
DJ Khaled,"SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy) - Harmonies by The Hive",0
21 Savage,Spiral,0
Future,No Issue,5
Quality Control,Bosses Don't Speak,5
Kap G,Top 5 (feat. Playboi Carti),3
Drake,6 Man,5
Gunna,Oh Okay (feat. Young Thug & Lil Baby),5
Juice WRLD,Out My Way,4
Lil Baby,Sum 2 Prove,3
Pop Smoke,Snitching (feat. Quavo & Future),7
Trippie Redd,Romeo & Juliet,6
Migos,Cocaina (feat. Young Thug),1
Meek Mill,Dreams and Nightmares,1
Lil Tjay,Move On - Bonus,1
Gunna,RELENTLESS (feat. Lil Uzi Vert),7
Diddy,Been Around the World (feat. The Notorious B.I.G. & Mase),3
Future,My Momma (feat. Wiz Khalifa),0
Bryson Tiller,502 Come Up,3
Young Thug,King TROUP,6
Lil Baby,All Of A Sudden,0
Future,Fly Shit Only,0
E-40,Chase The Money,7
Vince Staples,"Yo Love - From ""Queen & Slim: The Soundtrack""",6
DaBaby,Pull Up Music,3
Sheff G,Breesh (Intro),3
Young Money,Uoeno - Remix,3
Icewear Vezzo,Up The Scoe (feat. Lil Durk),3
Joey Bada$$,RING THE ALARM,1
BIG30,Murda Day (feat. Lil Migo),5
Mac Miller,Blue World,5
Black Fortune,Nothing To Lose,0
EARTHGANG,Monday,6
YoungBoy Never Broke Again,GG (feat. A Boogie wit da Hoodie) - Remix,7
Snoop Dogg,Buck 'Em,7
